orderID,productID,quantity
2640000,941356,3
2640000,58881,3
2640000,953050,1
2640001,293041,3
2640002,700291,3
2640002,357366,4
2640002,942308,5
2640002,355115,1
2640002,506019,5
2640002,521888,4
2640003,14150,2
2640003,162883,3
2640003,859904,4
2640003,620845,1
2640003,5081,1
2640003,800589,3
2640004,835005,5
2640004,506044,4
2640004,547216,3
2640004,883293,2
2640004,383139,1
2640004,55549,5
2640004,31947,4
2640004,736938,1
2640005,912275,3
2640005,901627,5
2640006,99160,2
2640006,379714,1
2640006,419419,2
2640006,334036,2
2640006,913620,3
2640007,331015,2
2640007,151170,4
2640007,534253,5
2640007,322442,1
2640007,528551,2
2640007,277124,1
2640007,71008,3
2640008,769879,3
2640008,613679,1
2640008,387694,5
2640008,574572,5
2640009,709863,1
2640009,635048,3
2640009,80718,2
2640009,509040,4
2640009,482108,2
2640009,239866,5
2640009,314099,5
2640009,250616,2
2640009,87283,5
2640010,734167,5
2640010,32347,3
2640010,115624,2
2640010,821851,1
2640011,373949,5
2640012,852878,2
2640013,836531,4
2640013,304251,1
2640013,347871,2
2640013,49145,1
2640013,436833,2
2640014,262529,2
2640014,536734,2
2640015,442486,3
2640015,894658,1
2640015,144056,3
2640015,67292,1
2640015,700796,2
2640015,305078,5
2640015,537231,4
2640015,670167,2
2640016,421978,1
2640016,702007,1
2640016,778681,5
2640016,601666,5
2640016,966692,3
2640017,189982,2
2640018,879440,1
2640018,662820,5
2640019,582385,2
2640019,121674,1
2640019,236999,1
2640019,676269,4
2640019,137753,4
2640019,996805,5
2640019,173014,1
2640019,664541,4
2640019,101730,5
2640020,413372,5
2640020,900682,1
2640020,917761,4
2640020,967090,3
2640020,524265,1
2640020,486956,1
2640020,500287,1
2640020,57341,2
2640021,304243,4
2640021,439681,1
2640022,77060,1
2640022,293727,2
2640023,891309,3
2640023,420999,4
2640023,21055,1
2640023,171985,4
2640023,461352,2
2640023,747407,2
2640023,591203,5
2640023,933898,4
2640024,616275,1
2640024,267639,1
2640024,500100,1
2640024,397976,3
2640025,750811,4
2640025,743637,1
2640025,994736,5
2640026,187625,2
2640026,185333,4
2640026,411453,3
2640026,435156,2
2640026,465986,5
2640026,517229,1
2640026,205981,3
2640027,77433,3
2640027,24041,4
2640027,369106,3
2640027,42117,2
2640027,386778,3
2640027,517912,2
2640027,216669,5
2640027,206237,5
2640028,979092,4
2640028,772894,3
2640028,580189,5
2640029,761141,5
2640029,100347,5
2640030,919446,2
2640031,28161,5
2640031,373685,5
2640031,938435,4
2640032,986416,3
2640032,621356,2
2640032,543306,3
2640032,84687,4
2640032,698172,2
2640033,546027,1
2640034,829765,4
2640034,136598,5
2640034,918214,3
2640035,378579,1
2640035,190985,3
2640035,825016,4
2640035,531118,5
2640035,190800,5
2640035,637276,2
2640036,487884,1
2640036,827230,1
2640036,353852,1
2640036,277224,5
2640036,901446,1
2640036,65741,4
2640036,346160,3
2640036,391142,4
2640037,848556,4
2640037,852861,1
2640037,199273,1
2640038,631518,5
2640038,674845,5
2640038,858432,4
2640038,590464,4
2640038,224839,5
2640039,526459,5
2640039,547648,5
2640039,892662,3
2640039,896147,3
2640039,837793,1
2640039,506644,2
2640039,254565,2
2640039,228475,2
2640040,277631,3
2640040,824066,2
2640040,120964,2
2640040,851810,4
2640040,914578,4
2640040,631551,2
2640040,188685,2
2640040,164794,1
2640040,269777,4
2640041,4411,3
2640041,995805,2
2640041,906110,1
2640041,466965,3
2640041,183296,3
2640041,567924,2
2640041,972367,3
2640041,405080,3
2640041,319538,3
2640042,591082,3
2640042,119807,1
2640042,472030,4
2640042,863409,4
2640042,597311,2
2640042,643343,3
2640042,176912,4
2640042,625735,2
2640042,615462,1
2640043,160413,1
2640043,873611,5
2640043,26471,2
2640043,856539,2
2640043,38277,2
2640044,426684,5
2640044,496564,2
2640045,211624,5
2640045,508288,4
2640045,940464,4
2640045,63853,4
2640045,303837,1
2640045,575282,3
2640045,653101,5
2640045,33549,2
2640046,920027,5
2640046,681552,2
2640046,773914,5
2640047,989784,5
2640047,360271,5
2640047,941557,3
2640047,519744,2
2640047,329964,2
2640047,116206,2
2640047,771130,4
2640047,85593,2
2640047,188971,5
2640048,626409,4
2640048,923561,1
2640048,177321,1
2640048,280459,1
2640048,859733,3
2640048,923411,5
2640048,447904,4
2640048,427239,3
2640049,628636,3
2640049,850237,5
2640049,767528,1
2640049,331016,2
2640049,707450,5
2640049,331778,2
2640050,54992,5
2640050,582084,2
2640050,179024,4
2640050,991837,4
2640051,384174,2
2640051,975031,4
2640052,941815,4
2640052,99967,1
2640052,939016,2
2640052,118504,2
2640053,222985,5
2640054,437279,5
2640054,722844,2
2640054,26625,2
2640054,634381,4
2640054,593637,1
2640054,206824,4
2640054,554841,2
2640054,450706,2
2640054,811886,5
2640055,51531,2
2640056,52902,2
2640056,721787,3
2640056,715840,3
2640056,739397,1
2640056,670257,3
2640056,900770,5
2640056,949087,3
2640057,492412,1
2640057,330870,3
2640057,130843,1
2640058,326722,4
2640058,585448,4
2640058,14771,5
2640058,394050,1
2640059,906951,3
2640059,900304,3
2640059,666281,3
2640059,681428,2
2640060,280803,5
2640060,310212,2
2640060,796167,1
2640060,965536,1
2640061,841006,3
2640061,532546,1
2640061,522829,4
2640061,894178,2
2640061,32133,3
2640061,75983,5
2640061,357820,5
2640061,540581,3
2640062,513058,4
2640062,390530,3
2640062,846810,5
2640062,523762,4
2640063,777534,5
2640063,440936,5
2640063,653077,5
2640063,130021,5
2640063,625593,3
2640064,415179,1
2640064,209975,2
2640065,932405,3
